index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
Lightning Rod;32;24;Pike;ltng-min;;15;15;ltng-max;;45;45;res-ltng-max;;15;15;Hitpoints;;30;45;Attack Rating;;50;75;Light Radius;;3;3;res-ltng;;15;15;Damage %;;100;100;;;;;;;;;;;;;;;;
Blood Harvester;23;17;Scythe;Openwounds;;20;30;Attack Rating;;45;60;Replenish Life;;20;20;Damage %;;75;100;Lifesteal;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Decrypted Axe;30;22;Poleaxe;Attack Speed %;;30;30;Vita;;10;10;Damage %;;60;80;Attack Rating;;80;80;Manasteal;;8;8;cold-thorns;;1;1;dmg-cold;;1;1;;;;;;;;;;;;;;;;;;;;
Raven`s Cry;33;25;Halberd;Slow Target %;;15;15;Other Skill;221;1;10;Blind Target;;3;3;dmg-ac;;-50;-50;Freeze Duration;;1;1;Prevent Heal;;1;1;Damage %;;120;120;;;;;;;;;;;;;;;;;;;;
Sorceress Warmth;34;25;War Scythe;Sorceress Skills;;1;2;Mana Points;;15;35;Manasteal;;25;25;Damage %;;20;20;Class Skill;37;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geleb`s Spire;22;16;Gnarled Staff;res-fire;;75;75;abs-fire;;2;3;Energy;;10;10;Class Skill;37;1;1;Class Skill;41;2;2;Class Skill;51;3;3;regen-mana;;22;22;dmg-fire;;18;24;Sorceress Skills;;1;1;;;;;;;;;;;;
Frost Raven`s Spire;23;17;Gnarled Staff;res-cold;;75;75;abs-cold;;2;3;Energy;;15;15;Class Skill;39;1;1;Class Skill;45;2;2;Class Skill;55;3;3;regen-mana;;44;44;dmg-cold;;24;32;Sorceress Skills;;1;1;;;;;;;;;;;;
Druidic Ire;27;19;Battle Staff;dmg-pois;50;34;48;res-pois;;30;30;All Skills;;1;2;res-pois-len;;25;25;Class Skill;222;3;3;Class Skill;240;2;2;;;;;;;;;;;;;;;;;;;;;;;;
Sorceress Defender Staff;25;27;War Staff;Armor Class;;35;35;Cast Speed %;;15;15;Damage %;;100;100;Attack Bonus %;;50;50;Class Skill;40;2;2;Class Skill;44;2;2;Class Skill;65;3;3;Sorceress Skills;;2;2;;;;;;;;;;;;;;;;
Phalanx Shot;18;14;Long Bow;Attack Bonus %;;35;35;Dexterity;;5;5;Strength;;5;5;Other Skill;12;2;3;Damage %;;60;70;dmg-ac;;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;
Bonecracker Bow;25;18;Composite Bow;All Resists;;10;10;Deadly Strike;;15;15;att-undead;;60;60;Dmg % to Undead;;60;60;Damage %;;40;60;Attack Speed %;;40;40;Crushing Blow;;15;15;;;;;;;;;;;;;;;;;;;;
Prism Aim;31;23;Short Battle Bow;dmg-ltng;;1;30;dmg-fire;;16;24;dmg-cold;;12;18;pierce;;25;25;Damage %;;50;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magic Aim;32;24;Long Battle Bow;magicarrow;;6;6;Attack Speed %;;30;30;Damage %;;70;80;Attack Rating;;70;80;dmg-mag;;10;15;Dexterity;;5;10;;;;;;;;;;;;;;;;;;;;;;;;
Frostbite Aim;33;25;Short War Bow;Attack Speed %;;15;15;cold-min;;15;15;cold-max;;30;50;Attack Rating;;50;50;res-cold;;25;25;Dexterity;;15;20;Damage %;;90;90;;;;;;;;;;;;;;;;;;;;
Heavy String Aim;34;26;Long War Bow;Damage %;;110;110;Dexterity;;5;5;Other Skill;22;1;1;dmg-max;;12;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armor Piercer;22;16;Crossbow;Ignore Armor;;1;1;Dexterity;;20;20;Attack Speed %;;20;20;dmg-min;;12;15;Damage %;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fire Piercer;32;24;Heavy Crossbow;explosivearrow;;5;5;res-fire-max;;15;15;Attack Rating;;70;70;Attack Speed %;;25;25;Damage %;;60;80;dmg-fire;;12;28;pierce-fire;;10;10;;;;;;;;;;;;;;;;;;;;
Shock Shot;33;25;Repeating Crossbow;Paladin Skills;;1;1;pierce;;25;25;Attack Speed %;;35;35;dmg-ltng;;5;35;Damage %;;75;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stone Stopper;18;14;Skull Cap;Armor Class;;35;35;Armor Class %;;40;60;Reduce Dmg;;5;5;All Resists;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ironskull;21;15;Full Helm;Attack Speed %;;10;10;Hit Recovery %;;10;10;dmg-max;;5;5;Armor Class;;15;15;Armor Class %;;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloodbone;26;19;Bone Helm;Lifesteal;;3;3;Hitpoints;;10;25;Mana Points;;10;10;Reduce Dmg;;5;8;Replenish Life;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greybone;25;18;Bone Helm;Manasteal;;3;3;Mana Points;;10;25;Hitpoints;;10;10;red-mag;;5;8;Replenish Life;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ramming Helm;31;23;Great Helm;Other Skill;126;1;1;Thorns;;5;5;Armor Class %;;60;80;Armor Class;;35;35;Knockback;;1;1;Armor vs Melee;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Leoric`s Crown;25;26;Crown;Other Skill;Raise Skeleton;1;3;Armor Class;;20;20;half-freeze;;1;1;Armor Class %;;40;40;Dmg % to Undead;;25;25;att-undead;;50;50;Other Skill;69;3;3;;;;;;;;;;;;;;;;;;;;
Duriel`s Frozen Face;24;17;Mask;Strength;;20;20;res-cold;;15;15;Armor Class;;25;25;dmg-cold;;16;22;Armor Class %;;30;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wolf Skins;20;15;Studded Leather;Attack Speed %;;10;10;Dexterity;;10;10;Hit Recovery %;;20;20;Armor Class;;30;30;Strength;;10;10;All Resists;;5;10;;;;;;;;;;;;;;;;;;;;;;;;
Wizenclink Mail;18;14;Scale Mail;Armor Class %;;40;60;Reduce Dmg;;5;5;All Resists;;5;10;nofreeze;;1;1;All Skills;;1;1;Reduce Req %;;-25;-25;;;;;;;;;;;;;;;;;;;;;;;;
Burning Mail;22;16;Chain Mail;Armor Class %;;65;90;dmg-fire;;18;24;Light Radius;;1;2;res-fire;;30;30;Gethit-Skill;62;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frost Ward;24;18;Breast Plate;rescold-max;;15;15;half-freeze;;1;1;res-cold;;90;90;dmg-cold;;2;4;Armor Class %;;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rotting Mail;26;19;Splint Mail;res-pois-len;;25;25;res-pois;;30;30;Light Radius;;-2;-2;Armor Class %;;70;80;dmg-pois;100;44;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate of the Order;34;27;Plate Mail;Lifesteal;;5;5;Armor Class %;;100;100;Dmg % to Undead;;50;50;Light Radius;;1;3;Armor Class;;50;100;Paladin Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Sage`s Plate;33;25;Field Plate;Reduce Req %;;-10;-10;Armor Class %;;80;80;Reduce Dmg %;;10;10;Reduce Dmg;;5;5;Other Skill;226;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manald`s Plate;34;25;Gothic Plate;Manasteal;;4;8;Replenish Life;;6;8;Hitpoints;;30;30;regen-mana;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Barrier;33;25;Full Plate Mail;Armor Class %;;120;150;All Resists;;25;25;Reduce Dmg;;10;10;Knockback;;1;1;Armor vs Melee;;50;50;Armor vs Missile;;75;75;;;;;;;;;;;;;;;;;;;;;;;;
Threshold;33;25;AncientArmor;All Skills;;1;2;All Resists;;15;15;Armor Class %;;125;125;Reduce Req %;;-25;-25;Hitpoints;;35;50;Replenish Life;;30;30;;;;;;;;;;;;;;;;;;;;;;;;
Sorceress Amortine;34;25;Light Plate;Armor Class %;;80;100;All Resists;;8;10;regen-mana;;25;25;Energy;;25;25;Replenish Life;;15;15;Vitality;;15;15;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Skullduggery;26;19;Bone Shield;Mana per Kill;;5;8;Other Skill;70;2;3;Cast Speed %;;15;15;Armor Class %;;30;40;Class Skill Tab;8;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bladed Ward;24;18;Spiked Shield;Thorns;;5;15;Openwounds;;20;20;Armor Class %;;40;60;Other Skill;266;2;3;Class Skill Tab;18;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Order Guard;25;18;Kite Shield;block;;15;15;Paladin Skills;;1;2;block2;;20;20;Light Radius;;1;3;Armor Class %;;40;60;Hit Recovery %;;20;20;All Resists;;10;10;Class Skill Tab;11;1;3;;;;;;;;;;;;;;;;
Steel Tower;23;18;Tower Shield;Armor Class;;75;75;Strength;;10;15;Armor Class %;;110;130;Other Skill;139;2;3;Class Skill Tab;12;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shield of Cunning;31;23;Gothic Shield;Dexterity;;15;25;Hit Recovery %;;25;25;Faster Movement %;;25;25;Other Skill;258;2;3;Class Skill Tab;19;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucky Guards;18;14;Chain Gloves;Gold Find %;;200;300;Magic Find %;;20;30;Armor Class;;25;25;Armor Class %;;15;25;Light Radius;;1;2;Hit Recovery %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Energy Chancers;28;21;Light Gauntlets;Cast Speed %;;25;25;regen-mana;;25;25;Magic Find %;;25;25;dmg-cold;;4;8;Energy;;10;10;Armor Class;;20;30;;;;;;;;;;;;;;;;;;;;;;;;
Venomers;35;26;Gauntlets;Damage %;;5;10;dmg-pois;50;21;33;Armor Class %;;5;20;Amazon Skills;;1;1;regen-mana;;5;15;pierce-pois;;3;5;;;;;;;;;;;;;;;;;;;;;;;;
Cthulu`s Call;17;13;Chain Boots;Faster Movement %;;15;15;Armor Class %;;20;40;Indestructable;;1;1;Life per Kill;;5;5;skill-rand;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gargoyle Treads;27;21;Light Plate Boots;Reduce Dmg;;1;8;red-mag;;1;8;Armor Class;;5;50;Armor Class %;;5;100;Reduce Dmg %;;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Order Greaves;34;25;Plate Boots;Armor Class;;25;35;Strength;;10;10;Dexterity;;10;10;Faster Movement %;;15;15;Armor Class %;;70;90;Class Skill;109;1;2;;;;;;;;;;;;;;;;;;;;;;;;
Druidic Wolves Belt;24;17;Belt;All Resists;;15;15;Mana Points;;15;15;Armor Class %;;10;25;Druid Skills;;1;1;Class Skill Tab;15;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chancewrap;32;24;Heavy Belt;Magic Find %;;30;50;Light Radius;;2;2;Faster Movement %;;15;15;Hit Recovery %;;10;10;Armor Class %;;30;40;Gold Find %;;20;40;;;;;;;;;;;;;;;;;;;;;;;;
Silverbuckle;34;25;Girdle;Lightning Thorns;;7;21;Armor Class;;15;15;Dexterity;;15;15;dmg-ltng;;5;18;Armor Class %;;15;90;Attack Speed %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Charged Relic;29;25;Amulet;dmg-ltng;;5;35;res-ltng-max;;10;10;res-ltng;;50;50;Light Radius;;1;3;Lightning Thorns;;11;33;Attack Speed %;;10;10;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;
Heirophant Charm;39;37;Amulet;Armor vs Melee;;20;50;All Skills;;1;1;Manasteal;;3;4;cold-min;;6;10;cold-max;;12;24;cold-len;;50;250;Mana Points;;15;35;;;;;;;;;;;;;;;;;;;;
Sign of the Order;42;41;Amulet;Strength;;10;15;Vitality;;10;15;Armor Class;;15;25;All Resists;;10;15;Attack Bonus %;;10;15;Armor Class %;;15;20;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;
Druidic Talon;58;54;Ring;res-pois-len;;25;25;res-pois-max;;10;10;res-pois;;50;50;Other Skill;231;1;3;dmg-pois;;96;148;Hitpoint % Increase;;10;15;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;
Resilience Hold;28;24;Ring;Hitpoints;;50;80;Reduce Dmg;;5;15;Dexterity;;10;25;Replenish Life;;10;25;Armor vs Missile;;75;150;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
The Stone Ward;36;32;Ring;Armor Class;;100;200;Reduce Dmg %;;5;10;Strength;;10;25;Lifesteal;;3;5;Armor vs Melee;;75;150;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Frozen Relic;27;23;Amulet;dmg-cold;;24;48;res-cold-max;;10;10;res-cold;;50;50;Light Radius;;-1;-1;nofreeze;;1;1;Hit Recovery %;;15;15;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;
Cursed Talisman;38;36;Amulet;Armor Class;;30;60;Light Radius;;-1;-2;All Skills;;1;2;Lifesteal;;4;8;Attack Speed %;;15;15;Replenish Life;;-5;-10;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;
Sharpening Stone;42;41;Amulet;Dexterity;;10;25;Vitality;;10;15;Armor Class;;25;35;All Resists;;10;15;Attack Bonus %;;15;20;Armor Class %;;10;15;All Skills;;1;1;Sockets;;1;1;;;;;;;;;;;;;;;;
Manaflow Charger;57;51;Ring;dmg-mag;;35;70;res-mag-max;;10;10;res-mag;;50;50;Other Skill;37;1;1;regen-mana;;15;25;Faster Movement %;;15;15;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;
Frenzy Band;33;29;Ring;Dexterity;;10;20;Attack Speed %;;15;15;Hitpoints;;35;70;Replenish Life;;5;15;Attack Rating;;25;125;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
The Steel Signet;35;31;Ring;Strength;;10;20;Damage %;;5;5;Armor Class;;35;70;Lifesteal;;1;3;Attack Bonus %;;5;10;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Flamelash;43;34;Hatchet;dmg-fire;34;68;40;res-fire;;15;15;res-fire-max;;15;15;Attack Speed %;;20;20;Hit-Skill;47;5;10;Gethit-Skill;62;5;10;Damage %;;160;180;;;;;;;;;;;;;;;;;;;;
Spark Rhyme;44;35;Hatchet;dmg-ltng;7;45;40;res-ltng;;15;15;res-ltng-max;;15;15;Attack Speed %;;40;40;Hit-Skill;38;15;5;Gethit-Skill;48;3;15;Damage %;;160;180;;;;;;;;;;;;;;;;;;;;
Limb Cleaver;45;36;Cleaver;Dmg % to Undead;;100;100;Openwounds;;15;15;Damage %;;160;180;Indestructable;;1;1;Attack Speed %;;40;40;dmg-norm;;40;60;;;;;;;;;;;;;;;;;;;;;;;;
Order Undead;48;42;Twin Axe;Paladin Skills;;1;2;Strength;;15;25;block1;;10;10;Vitality;;10;10;Energy;;10;10;Armor vs Melee;;50;50;Dmg % to Undead;;125;125;Damage %;;180;180;Class Skill;106;1;1;Class Skill;113;1;1;;;;;;;;
Eye Piercer;51;43;Crowbill;Hit-Skill;84;5;1;Slow Target %;;20;20;dmg-mag;;25;125;Knockback;;1;1;Damage %;;150;180;Attack Speed %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Azshara`s Naga;54;46;Naga;Hit-Skill;44;10;5;Attack Speed %;;15;15;res-cold;;35;35;Damage %;;160;180;dmg-cold;150;150;150;dmg-max;;20;25;;;;;;;;;;;;;;;;;;;;;;;;
Skyrim Cleaver;42;37;Military Axe;Hitpoints;;75;75;Replenish Life;;10;10;dmg-ltng/lvl;4;;;res-ltng;;15;15;rep-dur;50;;;Damage %;;190;200;;;;;;;;;;;;;;;;;;;;;;;;
Venom`s Edge;45;38;Bearded Axe;Attack Speed %;;20;20;Damage %;;175;200;pierce-pois;;3;5;Hit-Skill;Lower Resist;10;5;kill-skill;Poison Nova;5;10;Gethit-Skill;Poison Nova;5;10;Hit-Skill;Venom;5;5;;;;;;;;;;;;;;;;;;;;
Flamerider;47;40;Tabar;Hit-Skill;225;5;10;Hit-Skill;52;10;0;dmg-fire;;64;128;dmg-norm;;45;90;Damage %;;80;100;Extra Durability;;60;60;res-fire;;15;15;Gethit-Skill;51;15;5;;;;;;;;;;;;;;;;
Hellslayer Blade;48;41;Gothic Axe;att-dem/lvl;10;;;dmg-dem/lvl;20;;;Strength;;15;15;Attack Speed %;;15;15;Attack Bonus %;;25;25;Damage %;;190;230;Charges;116;200;10;Gethit-Skill;112;20;5;;;;;;;;;;;;;;;;
The Herald;54;45;Ancient Axe;Armor Class;;35;50;Attack Speed %;;40;40;Strength;;20;30;Slow Target %;;20;20;Crushing Blow;;10;10;dmg-mag;;25;35;Damage %;;160;210;All Skills;;1;1;;;;;;;;;;;;;;;;
Living Branch;48;36;Burnt Wand;Replenish Life;;15;20;Cast Speed %;;30;30;All Resists;;5;15;Hitpoint % Increase;;10;10;Mana Points;;20;20;All Skills;;1;2;;;;;;;;;;;;;;;;;;;;;;;;
Hardened Boneshard;45;38;Petrified Wand;ac/lvl;10;;;Cast Speed %;;15;15;ac%/lvl;4;;;Hit Recovery %;;10;10;All Skills;;1;1;Necro Skills;;1;1;Class Skill Tab;7;1;3;;;;;;;;;;;;;;;;;;;;
Beyond the Grave;48;39;Tomb Wand;Class Skill Tab;8;1;5;Gethit-Skill;72;3;3;mana/lvl;6;;;Gethit-Skill;87;10;2;Class Skill;69;3;5;Class Skill;70;3;5;Manasteal;;15;25;;;;;;;;;;;;;;;;;;;;
Tooth Collector;49;41;Grave Wand;Class Skill Tab;7;1;2;dmg-to-mana;;25;25;Hitpoints;;25;75;Cast Speed %;;20;20;All Resists;;10;10;Necro Skills;;2;3;Class Skill;67;1;5;;;;;;;;;;;;;;;;;;;;
Zombie Crusher;42;37;Cudgel;Hit-Skill;101;2;4;Dmg % to Undead;;200;200;att-undead;;200;200;Damage %;;195;210;Attack Bonus %;;20;20;Life per Kill;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Geleb`s Scepter;44;34;Rune Scepter;Lifesteal;;2;4;Ignore Armor;;1;1;Replenish Life;;10;10;regen-stam;;15;15;Hit-Skill;56;5;5;Damage %;;190;210;Attack Speed %;;25;25;Class Skill;102;2;2;Hit-Skill;52;2;5;;;;;;;;;;;;
The Blood Sprinkler;46;38;Holy Water Sprinkler;Paladin Skills;;2;2;Openwounds;;15;15;Hit-Skill;82;10;1;bloody;;3;3;Damage %;;180;190;Attack Rating;;175;175;dmg-norm;;20;20;;;;;;;;;;;;;;;;;;;;
Light`s Charger;49;41;Divine Scepter;Paladin Skills;;1;3;Damage %;;140;180;Attack Bonus %;;80;80;Armor Class;;75;75;Light Radius;;4;4;dmg-ltng;;7;75;Class Skill;101;4;4;Other Skill;Thunder Storm;1;1;Class Skill Tab;10;1;1;;;;;;;;;;;;
Twisted Barbed Basher;45;37;Barbed Club;Openwounds;;10;10;Crushing Blow;;10;10;Deadly Strike;;10;10;dmg-norm;;10;10;Damage %;;180;210;Thorns;;30;30;rep-dur;;5;5;aura;Thorns;1;2;;;;;;;;;;;;;;;;
Magi Mace;44;36;Flanged Mace;dmg-mag;;40;80;Prevent Heal;;1;1;Damage %;;170;190;Crushing Blow;;15;15;Deadly Strike;;15;15;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Nightstrider;53;45;Jagged Star;dmg/lvl;4;;;All Skills;;1;1;dmg;;15;75;Class Skill Tab;16;1;3;Lifesteal;;3;4;Manasteal;;3;4;Class Skill;223;1;2;Damage %;;140;220;;;;;;;;;;;;;;;;
Makiel's Vortex;51;44;Knout;Hit-Skill;44;5;10;dmg-cold;;48;144;Hitpoints;;75;75;res-cold;;25;25;Damage %;;175;200;Attack Speed %;;10;10;dmg-cold/lvl;6;;;Gethit-Skill;44;2;5;;;;;;;;;;;;;;;;
Skyhammer;49;42;Battle Hammer;Hit-Skill;121;5;7;Knockback;;1;1;Attack Speed %;;20;20;Damage %;;200;200;Extra Durability;;50;50;dmg-ltng;;5;55;Charges;57;50;2;;;;;;;;;;;;;;;;;;;;
Fear Totem;58;47;War Club;Damage %;;180;220;All Resists;;15;15;Armor Class;;45;75;Strength;;25;25;Class Skill;150;1;3;Class Skill;148;2;3;Extra Durability;;45;45;Gethit-Skill;130;5;1;;;;;;;;;;;;;;;;
Darkflight;52;46;Martel de Fer;Gethit-Skill;71;15;1;Damage %;;145;175;Indestructable;;1;1;dmg-norm;;15;35;Charges;264;5;10;Hit Recovery %;;10;10;Faster Movement %;;10;10;;;;;;;;;;;;;;;;;;;;
Deadman the Slayer;26;28;Gladius;Damage %;;140;160;Attack Rating;;80;120;dmg-norm;;10;15;Attack Speed %;;10;10;Other Skill;96;1;2;Class Skill;73;1;2;Extra Durability;;35;35;Dmg % to Undead;;50;50;;;;;;;;;;;;;;;;
Bloodsteel Eye;37;29;Cutlass;Damage %;;180;230;Attack Speed %;;40;40;Lifesteal;;4;6;Extra Durability;;60;60;Replenish Life;;10;10;Life per Kill;;5;8;;;;;;;;;;;;;;;;;;;;;;;;
Venom Hexer;39;30;Shamshir;Ignore Armor;;1;1;res-pois;;25;25;res-pois-max;;10;10;dmg-pois;;40;80;Damage %;;130;150;dmg-pois/lvl;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Blade of Asi Buba;43;35;Tulwar;Sockets;;1;2;Gold Find %;;10;40;Magic Find %;;10;40;Hitpoints;;25;25;Damage %;;90;120;Strength;;5;15;;;;;;;;;;;;;;;;;;;;;;;;
Time Shard;25;25;Dimensional Blade;All Resists;;75;75;Extra Durability;;50;50;dmg-mag;;50;50;dmg-fire;;50;50;dmg-cold;;50;50;Hit-Skill;48;100;10;Extra XP;;50;50;ethereal;;1;1;;;;;;;;;;;;;;;;
Heartstriker;45;36;Battle Sword;rip;;1;1;Dexterity;;15;15;crush/lvl;4;;;dmg/lvl;4;;;Damage %;;150;180;Lifesteal;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Fire Claw Slasher;47;39;Rune Sword;Hit-Skill;225;5;4;dmg-fire;;72;96;dmg-norm;;10;45;Damage %;;150;150;res-fire;;45;45;Class Skill;239;5;5;;;;;;;;;;;;;;;;;;;;;;;;
The Crusader;46;39;Ancient Sword;Extra Durability;;100;100;dmg-ac;;-25;-25;Strength;;15;15;Dexterity;;10;10;Vitality;;10;15;Damage %;;210;260;Paladin Skills;;1;1;Attack Bonus %;;50;75;Class Skill Tab;9;1;1;;;;;;;;;;;;
Frenzy Blade;48;41;Espadon;Slow Target %;;15;15;Faster Movement %;;30;30;Reduce Dmg %;;10;10;Damage %;;180;220;Attack Speed %;;60;60;Class Skill Tab;12;1;2;Class Skill;147;1;2;;;;;;;;;;;;;;;;;;;;
Kasai Sz Wang;49;42;Dacian Falx;Reduce Req %;;-25;-25;dmg-fire;;90;120;Strength;;25;25;extra-fire;;5;10;Hit-Skill;234;5;10;Damage %;;140;170;;;;;;;;;;;;;;;;;;;;;;;;
Sky Crack;51;43;Tusk Sword;Hit-Skill;91;5;1;dmg-dem/lvl;60;;;res-ltng;;50;50;dmg-ltng;;60;300;Damage %;;160;200;att-dem/lvl;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Frost Edge;52;44;Gothic Sword;Hit-Skill;59;5;5;dmg-cold;;72;196;Armor Class;;50;50;Light Radius;;1;1;res-cold-max;;10;10;Damage %;;160;210;Gethit-Skill;40;1;1;;;;;;;;;;;;;;;;;;;;
Dawn of War;53;45;Zweihander;Damage %;;160;180;Attack Speed %;;60;60;Armor vs Missile;;100;100;Armor vs Melee;;100;100;Crushing Blow;;10;10;Deadly Strike;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Vampire Slayer;54;47;Executioner Sword;Damage %;;180;200;Lifesteal;;10;12;Slow Target %;;10;10;Faster Movement %;;20;20;wounds/lvl;4;;;Sockets;;1;2;Ignore Armor;;10;10;;;;;;;;;;;;;;;;;;;;
Swift Strike;8;5;Katar;Damage %;;40;50;Attack Speed %;;15;15;Faster Movement %;;10;10;Lifesteal;;1;2;Dexterity;;5;8;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Phsycic Shock;14;9;Cestus;Damage %;;50;80;Class Skill;253;1;2;Class Skill;256;1;2;Cast Speed %;;10;10;dmg-ltng;;3;9;res-ltng;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Faded Blades;22;18;Scissors Katar;Damage %;;80;110;Class Skill;266;2;2;Class Skill;267;1;2;Attack Speed %;;25;25;wounds/lvl;2;;;Mana Points;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Frost Fist;32;26;Fascia;Damage %;;110;140;Class Skill;274;2;2;Class Skill Tab;20;1;2;dmg-cold;;18;26;res-cold;;20;20;Armor Class;;20;20;;;;;;;;;;;;;;;;;;;;;;;;
Jullila`s Mane;8;5;Wolf Head;Druid Skills;;1;1;Class Skill Tab;16;1;1;Armor Class %;;60;80;Hit Recovery %;;10;10;Attack Bonus %;;5;5;Strength;;5;5;Energy;;5;5;Mana per Kill;;1;1;All Resists;;10;10;;;;;;;;;;;;
Raven Crest;8;5;Hawk Helm;Druid Skills;;1;1;Class Skill;221;2;4;Armor Class %;;40;60;Cast Speed %;;15;15;Mana Points;;15;15;Energy;;1;5;Mana per Kill;;1;2;;;;;;;;;;;;;;;;;;;;
The Alpha;22;17;Spirit Mask;Druid Skills;;1;1;Class Skill;227;2;3;Armor Class %;;50;70;Hit Recovery %;;10;10;Vitality;;5;5;All Resists;;5;5;Life per Kill;;1;2;;;;;;;;;;;;;;;;;;;;
Tamoe Visor;8;5;Fanged Helm;Barbarian Skills;;1;1;Class Skill;127;1;2;Armor Class %;;40;60;Hitpoints;;20;20;Hit Recovery %;;10;10;All Resists;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Assault Striker;22;17;Assault Helmet;Barbarian Skills;;1;1;Class Skill;133;2;3;Armor Class %;;60;80;Attack Speed %;;15;15;Attack Bonus %;;5;5;Strength;;5;10;;;;;;;;;;;;;;;;;;;;;;;;
Light`s Rebout;8;5;Rondache;Paladin Skills;;1;1;Class Skill;99;1;2;Armor Class %;;40;60;Light Radius;;1;2;Hit Recovery %;;10;10;Strength;;5;5;res-ltng;;15;15;All Resists;;5;5;;;;;;;;;;;;;;;;
Defiant Defender;22;17;Crown Shield;Paladin Skills;;1;1;Class Skill;104;2;3;Armor Class %;;60;80;Armor Class;;25;25;block1;;10;10;Strength;;10;10;All Resists;;10;10;;;;;;;;;;;;;;;;;;;;
Corpse Fume;8;5;Preserved Head;Necro Skills;;1;1;Class Skill;74;1;2;Armor Class %;;40;60;Cast Speed %;;15;15;Hit Recovery %;;10;10;Mana Points;;15;15;All Resists;;5;5;;;;;;;;;;;;;;;;;;;;
Demon Blood Link;22;17;Demon Head;Necro Skills;;1;1;Class Skill;85;2;3;Armor Class %;;60;80;Hitpoints;;20;20;block1;;10;10;Vitality;;3;5;All Resists;;10;10;;;;;;;;;;;;;;;;;;;;
Gut Spill;37;30;Poignard;Openwounds;;50;50;Lifesteal;;1;3;Prevent Heal;;1;1;Attack Speed %;;30;30;Strength;;10;10;Damage %;;210;250;dmg-norm;;17;30;;;;;;;;;;;;;;;;;;;;
Flame Lash;43;34;Rondel;Attack Speed %;;10;10;Ignore Armor;;1;1;dmg-fire;;25;45;Damage %;;180;220;Class Skill;52;4;4;Class Skill;46;4;4;Class Skill;61;4;4;;;;;;;;;;;;;;;;;;;;
